"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","4221","Test#11 - Open website and check product filter (Price low to high)","","2025-11-17","passed","2025-11-17","SauceDemo Smoke Login Page Tests","productPage.spec.js","",""
"","1564","Test#25 - Check back home button on the ""Checkout: Complete!"" page","","2025-11-17","passed","2025-11-17","SauceDemo Smoke Login Page Tests","checkoutPage.spec.js","",""
"","6883","Test#12 - Open website and add random product to basket","","2025-11-17","passed","2025-11-17","SauceDemo Smoke Login Page Tests","basketPage.spec.js","",""
"","4467","Test#14 - Open website and check the continue button on the basket page","","2025-11-17","passed","2025-11-17","SauceDemo Smoke Login Page Tests","basketPage.spec.js","",""
"","7089","Test#16 - Check all elements on the ""Checkout: Your Information"" page","","2025-11-17","passed","2025-11-17","SauceDemo Smoke Login Page Tests","checkoutPage.spec.js","",""
"","4287","Test#11 - Open website and check product filter (Price high to low)","","2025-11-17","passed","2025-11-17","SauceDemo Smoke Login Page Tests","productPage.spec.js","",""
"","4964","Test#19 - Fill form with empty Last Name field on the on the ""Checkout: Your Information"" page","","2025-11-17","passed","2025-11-17","SauceDemo Smoke Login Page Tests","checkoutPage.spec.js","",""
"","1599","Test#23 - Check cancel button on the ""Checkout: Your Information"" page","","2025-11-17","passed","2025-11-17","SauceDemo Smoke Login Page Tests","checkoutPage.spec.js","",""
"","2193","Test#7 - Login with correct username and password","","2025-11-17","passed","2025-11-17","SauceDemo Smoke Login Page Tests","loginPage.spec.js","",""
"","2688","Test#21 - Fill form with correct fields and check ""Continue"" button on the on the ""Checkout: Your Information"" page","","2025-11-17","passed","2025-11-17","SauceDemo Smoke Login Page Tests","checkoutPage.spec.js","",""
"","4930","Test#15 - Open website and check the checkout button on the basket page","","2025-11-17","passed","2025-11-17","SauceDemo Smoke Login Page Tests","basketPage.spec.js","",""
"","6279","Test#1 - Open website and check all elements","","2025-11-17","passed","2025-11-17","SauceDemo Smoke Login Page Tests","loginPage.spec.js","",""
"","6128","Test#13 - Open website and check all elements on the basket page","","2025-11-17","passed","2025-11-17","SauceDemo Smoke Login Page Tests","basketPage.spec.js","",""
"","1618","Test#24 - Check finish button on the ""Checkout: Your Information"" page and check elements on the ""Checkout: Complete!"" page","","2025-11-17","passed","2025-11-17","SauceDemo Smoke Login Page Tests","checkoutPage.spec.js","",""
"","4162","Test#5 - Login with empty password","","2025-11-17","passed","2025-11-17","SauceDemo Smoke Login Page Tests","loginPage.spec.js","",""
"","4818","Test#3 - Login with empty username","","2025-11-17","passed","2025-11-17","SauceDemo Smoke Login Page Tests","loginPage.spec.js","",""
"","1961","Test#22 - Check ""Checkout: Overview"" page","","2025-11-17","passed","2025-11-17","SauceDemo Smoke Login Page Tests","checkoutPage.spec.js","",""
"","4294","Test#9 - Open website and check product filter (Name A → Z)","","2025-11-17","passed","2025-11-17","SauceDemo Smoke Login Page Tests","productPage.spec.js","",""
"","7577","Test#17 - Check cancel button on on the ""Checkout: Your Information"" page","","2025-11-17","passed","2025-11-17","SauceDemo Smoke Login Page Tests","checkoutPage.spec.js","",""
"","4709","Test#18 - Fill form with empty First Name field on the on the ""Checkout: Your Information"" page","","2025-11-17","passed","2025-11-17","SauceDemo Smoke Login Page Tests","checkoutPage.spec.js","",""
"","2818","Test#20 - Fill form with empty Zip Code field on the on the ""Checkout: Your Information"" page","","2025-11-17","passed","2025-11-17","SauceDemo Smoke Login Page Tests","checkoutPage.spec.js","",""
"","2376","Test#2 - Login with empty username and password","","2025-11-17","passed","2025-11-17","SauceDemo Smoke Login Page Tests","loginPage.spec.js","",""
"","6649","Test#8 - Open website and check elements of random product","","2025-11-17","passed","2025-11-17","SauceDemo Smoke Login Page Tests","productPage.spec.js","",""
"","4364","Test#10 - Open website and check product filter (Name Z → A)","","2025-11-17","passed","2025-11-17","SauceDemo Smoke Login Page Tests","productPage.spec.js","",""
"","5699","Test#4 - Login with incorrect username","","2025-11-17","passed","2025-11-17","SauceDemo Smoke Login Page Tests","loginPage.spec.js","",""
"","2552","Test#6 - Login with incorrect password","","2025-11-17","passed","2025-11-17","SauceDemo Smoke Login Page Tests","loginPage.spec.js","",""
